"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"03-01-2023","50","12:15","12:30","","","152,47","","0","152,47","152,47","1"
"03-01-2023","51","12:30","12:45","","","177,7","","0","177,7","177,7","1"
"03-01-2023","52","12:45","13:00","","","184,5","","0","184,5","184,5","1"
"03-01-2023","53","13:00","13:15","","","250,75","","0","250,75","250,75","1"
"03-01-2023","54","13:15","13:30","","","215,63","","0","215,63","215,63","1"
"03-01-2023","55","13:30","13:45","","","215,63","122,57","0","122,57","122,57","-1"
"03-01-2023","56","13:45","14:00","","","","-27,69","0","-27,69","-27,69","-1"
"03-01-2023","57","14:00","14:15","","","","77,83","0","77,83","77,83","-1"
"03-01-2023","58","14:15","14:30","","","","63,06","0","63,06","63,06","-1"
"03-01-2023","59","14:30","14:45","","","","95,8","0","95,8","95,8","-1"
"03-01-2023","60","14:45","15:00","","","","142,83","0","142,83","142,83","-1"
"03-01-2023","61","15:00","15:15","","","","142,85","0","142,85","142,85","-1"
"03-01-2023","62","15:15","15:30","","","167,85","","0","167,85","167,85","1"
"03-01-2023","63","15:30","15:45","","","159,47","","0","159,47","159,47","1"
"03-01-2023","64","15:45","16:00","","","152,47","","0","152,47","152,47","1"
"03-01-2023","65","16:00","16:15","","","","","0","180,43","180,43","0"
"03-01-2023","66","16:15","16:30","","","","208,43","0","208,43","208,43","-1"
"03-01-2023","67","16:30","16:45","","","","","0","180,39","180,39","0"
"03-01-2023","68","16:45","17:00","","","","","0","177,84","177,84","0"
"03-01-2023","69","17:00","17:15","","","","127,83","0","127,83","127,83","-1"
"03-01-2023","70","17:15","17:30","","","","","0","146,04","146,04","0"
"03-01-2023","71","17:30","17:45","","","","132,83","0","132,83","132,83","-1"
"03-01-2023","72","17:45","18:00","","","","117,83","0","117,83","117,83","-1"
"03-01-2023","73","18:00","18:15","","","","99,28","0","99,28","99,28","-1"
"03-01-2023","74","18:15","18:30","","","","107,28","0","107,28","107,28","-1"
"03-01-2023","75","18:30","18:45","","","","126,71","0","126,71","126,71","-1"
"03-01-2023","76","18:45","19:00","","","","115,04","0","115,04","115,04","-1"
"03-01-2023","77","19:00","19:15","","","165,61","123,47","0","165,61","123,47","2"
"03-01-2023","78","19:15","19:30","","","157,88","","0","157,88","157,88","1"
"03-01-2023","79","19:30","19:45","","","","","0","147,68","147,68","0"
"03-01-2023","80","19:45","20:00","","","","","0","147,68","147,68","0"
"03-01-2023","81","20:00","20:15","","","158,22","","0","158,22","158,22","1"
"03-01-2023","82","20:15","20:30","","","173,22","","0","173,22","173,22","1"
"03-01-2023","83","20:30","20:45","","","","","0","147,85","147,85","0"
"03-01-2023","84","20:45","21:00","","","","143,22","0","143,22","143,22","-1"
"03-01-2023","85","21:00","21:15","","","","-15,62","0","-15,62","-15,62","-1"
"03-01-2023","86","21:15","21:30","","","","75,63","0","75,63","75,63","-1"
"03-01-2023","87","21:30","21:45","","","","-10,62","0","-10,62","-10,62","-1"
"03-01-2023","88","21:45","22:00","","","","23,38","0","23,38","23,38","-1"
"03-01-2023","89","22:00","22:15","","","165,47","96,43","0","165,47","96,43","2"
"03-01-2023","90","22:15","22:30","","","165,47","123,47","0","123,47","123,47","-1"
"03-01-2023","91","22:30","22:45","","","","129,47","0","129,47","129,47","-1"
"03-01-2023","92","22:45","23:00","","","","-25,62","0","-25,62","-25,62","-1"
"03-01-2023","93","23:00","23:15","","","","-25,62","0","-25,62","-25,62","-1"
"03-01-2023","94","23:15","23:30","","","","-10,62","0","-10,62","-10,62","-1"
"03-01-2023","95","23:30","23:45","","","","-25,62","0","-25,62","-25,62","-1"
"03-01-2023","96","23:45","00:00","","","","-50","0","-50","-50","-1"
